Thématiques 2628,Numéro de dépôt,Public concerné,Contexte,Format (ANDPC),Typologie de formation,Type d'EPP,Durée totale,Prise en charge,Indemnités PS,Formateur(s),ODPC,Commercialisation,U1 - Typologie,U1 - Format,U1 - Nb d'heure(s) total,U2 - Typologie,U2 - Format,U2 - Nb d'heure(s) total,U3 - Typologie,U3 - Format,U3 - Nb d'heure(s) total,Fiche mémo pdf
Pathologies mammaires : dépistage du cancer du sein (https://www.notion.so/Pathologies-mammaires-d-pistage-du-cancer-du-sein-20f1e0168e7080e7929df1d0dc19a65f?pvs=21),94632425330,Médecine générale (https://www.notion.so/M-decine-g-n-rale-d1270dd07cd24aceb997ee8db67ab179?pvs=21),"Le dépistage et la prise en charge du cancer du sein sont un enjeu de santé publique important. Premier cancer en France, il touche chaque année plus de 50 000 femmes. Le dépistage généralisé dans la population générale a permis une détection plus précoce des tumeurs du sein malignes. Cette formation propose un enseignement exhaustif pour permettre aux praticiens de mieux promouvoir ce dépistage organisé, mais également réaliser un dépistage clinique et individuel adapté à chaque patiente. ","E-learning, Présentiel",PI,AC,7,"513,00 €","225,00 €",Samuel KHIAT (https://www.notion.so/Samuel-KHIAT-7f9d4f4a2070451b97136cd6857bd3fc?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,2,Formation Continue,Présentiel,3,Evaluation des pratiques professionnelles,Non présentiel,2,
"Suivi médical de la grossesse, du projet conceptionnel au post-partum (https://www.notion.so/Suivi-m-dical-de-la-grossesse-du-projet-conceptionnel-au-post-partum-2111e0168e70800183fed25afeb671d1?pvs=21)",94632425201,"Gynécologie médicale (https://www.notion.so/Gyn-cologie-m-dicale-c82b31844562493f997f6ba6d2f765a6?pvs=21), Gynécologie obstétrique (https://www.notion.so/Gyn-cologie-obst-trique-2251e0168e7080c4ba59fd0ee4c00bd5?pvs=21)","La prise en charge de près de 750 000 naissances par an en France est un défi pour les acteurs de périnatalité. Compte tenu de la possible morbidité infantile et maternelle, il est indispensable d’identifier les situations à risque du préconceptionnel au postpartum. La dernière Enquête Nationale Périnatale de 2021 a révélé une augmentation des facteurs de risque maternels tels que l’âge ou l’indice de masse corporelle (20% des grossesses après 35 ans et 14% de femmes en situation d’obésité), ainsi que de certaines pathologies obstétricales telles que le diabète gestationnel et la macrosomie fœtale. Les grossesses gémellaires représentent 3% des naissances. Concernant le péri-partum, 25% des femmes ont un déclenchement du travail, le plus souvent pour indication médicale en raison de la survenue d’une complication en fin de grossesse, 21% une naissance par césarienne et 11% des accouchements se compliquent d’une hémorragie du postpartum. Ces chiffres clés illustrent la fréquence des complications ante, per et post-partum, et justifient la nécessité d’une parfaite connaissance des situations obstétricales à risque afin d’optimiser leur dépistage et de leur prise en charge.",E-learning,FC,NA (FC),11,"522,50 €","0,00 €","Loïc SENTHILES (https://www.notion.so/Lo-c-SENTHILES-be2961d51e294cf083fb816d84c60247?pvs=21), Alizée FROELIGER (https://www.notion.so/Aliz-e-FROELIGER-5eac7ac43c64455f8867795b84877147?pvs=21), Hugo MADARS (https://www.notion.so/Hugo-MADARS-9a5a86d9cb2e46b78629fae6d0d8a342?pvs=21), Hanane BOUCHGHOUL (https://www.notion.so/Hanane-BOUCHGHOUL-bb32f0ecb54a4cba91f9c3504197bf2e?pvs=21)",GRAAD,Commercialisée,Formation Continue,Non présentiel,11,,,0,,,0,
Patients polymédiqués : bon usage des médicaments (https://www.notion.so/Patients-polym-diqu-s-bon-usage-des-m-dicaments-2141e0168e7080e4abfdfbc34feb9a92?pvs=21),94632425185,Psychiatrie (https://www.notion.so/Psychiatrie-19915b92c8284772b8b98afd02623b65?pvs=21),"L’usage des médicaments nécessite une adaptation des pratiques en accord avec le contexte du patient fragile, les risques prévisibles liés à l’usage du médicament et le cadre légal nécessaire à son utilisation. Les situations particulieres de la femme enceinte, du sujet gériatique et le contexte psychiatrique sont les situations nécessitant une acquisition de compéténces pour une gestion de risque spécifique.",E-learning,FC,NA (FC),11,"522,50 €","0,00 €","Stéphane MOUCHABAC (https://www.notion.so/St-phane-MOUCHABAC-021740441b8b476eb28bbacb95a7bcbd?pvs=21), Arsène MEKINIAN (https://www.notion.so/Ars-ne-MEKINIAN-863b101fbb22460faf5c96b7710c4423?pvs=21)",GRAAD,Commercialisée,Formation Continue,Non présentiel,11,,,0,,,0,
Patients polymédiqués : bon usage des médicaments (https://www.notion.so/Patients-polym-diqu-s-bon-usage-des-m-dicaments-2141e0168e7080e4abfdfbc34feb9a92?pvs=21),94632425279,"Médecine générale (https://www.notion.so/M-decine-g-n-rale-d1270dd07cd24aceb997ee8db67ab179?pvs=21), Gériatrie / Gérontologie (https://www.notion.so/G-riatrie-G-rontologie-8134de7c2adc4d069a0b813e6f873fab?pvs=21)","L’usage des médicaments nécessite une adaptation des pratiques en accord avec le contexte du patient fragile, les risques prévisibles liés à l’usage du médicament et le cadre légal nécessaire à son utilisation. Les situations particulieres de la femme enceinte, du sujet gériatique et le contexte psychiatrique sont les situations nécessitant une acquisition de compéténces pour une gestion de risque spécifique.",E-learning,PI,AC,11,"589,00 €","157,50 €","Stéphane MOUCHABAC (https://www.notion.so/St-phane-MOUCHABAC-021740441b8b476eb28bbacb95a7bcbd?pvs=21), Arsène MEKINIAN (https://www.notion.so/Ars-ne-MEKINIAN-863b101fbb22460faf5c96b7710c4423?pvs=21)",GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,
Patients polymédiqués : bon usage des médicaments (https://www.notion.so/Patients-polym-diqu-s-bon-usage-des-m-dicaments-2141e0168e7080e4abfdfbc34feb9a92?pvs=21),94632425280,"Gynécologie médicale (https://www.notion.so/Gyn-cologie-m-dicale-c82b31844562493f997f6ba6d2f765a6?pvs=21), Gynécologie obstétrique (https://www.notion.so/Gyn-cologie-obst-trique-2251e0168e7080c4ba59fd0ee4c00bd5?pvs=21)","L’usage des médicaments nécessite une adaptation des pratiques en accord avec le contexte du patient fragile, les risques prévisibles liés à l’usage du médicament et le cadre légal nécessaire à son utilisation. Les situations particulieres de la femme enceinte, du sujet gériatique et le contexte psychiatrique sont les situations nécessitant une acquisition de compéténces pour une gestion de risque spécifique.",E-learning,PI,AC,11,"589,00 €","157,50 €","Stéphane MOUCHABAC (https://www.notion.so/St-phane-MOUCHABAC-021740441b8b476eb28bbacb95a7bcbd?pvs=21), Arsène MEKINIAN (https://www.notion.so/Ars-ne-MEKINIAN-863b101fbb22460faf5c96b7710c4423?pvs=21)",GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,
Dermatite atopique de l’enfant et de l’adulte (https://www.notion.so/Dermatite-atopique-de-l-enfant-et-de-l-adulte-2151e0168e7080cf9173df2764e5891e?pvs=21),94632425260,Dermatologie et vénéréologie (https://www.notion.so/Dermatologie-et-v-n-r-ologie-227b9551cf484e86a4f734bdb4a40789?pvs=21),"En Europe, environ 10 à 15% des enfants et 4% des adultes sont concernés par la dermatite atopique. L'eczéma atopique ou dermatite atopique touche principalement l'enfant. Il commence très tôt dans la vie (dès l'âge de 3 mois le plus souvent) et est alors appelé eczéma du nourrisson. Il évolue par poussées chez le bébé et l'enfant, disparaît en général avant l'adolescence, mais peut persister à l'âge adulte.
La physiopathologie de cette pathologie fréquente, de sévérité variable,  est de mieux en mieux comprise. 
Sa prise en charge a été bouleversée ces dernières années par l’arrivée de nouveaux traitements.",E-learning,PI,AC,11,"589,00 €","157,50 €",Florence TÉTART (https://www.notion.so/Florence-T-TART-ab802ccffd8c42c9ac2b00e8dce6434b?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,
Les Perturbateurs endocriniens : quels risques pour la santé ? (https://www.notion.so/Les-Perturbateurs-endocriniens-quels-risques-pour-la-sant-2151e0168e7080219b8dec209f703003?pvs=21),94632425252,"Endocrinologie-diabétologie-nutrition (https://www.notion.so/Endocrinologie-diab-tologie-nutrition-4c46ee162369426888a15b0f8cca5dfd?pvs=21), Gynécologie médicale (https://www.notion.so/Gyn-cologie-m-dicale-c82b31844562493f997f6ba6d2f765a6?pvs=21), Médecine interne et immunologie clinique (https://www.notion.so/M-decine-interne-et-immunologie-clinique-a15af2a0ba584d6587d516303550cf1d?pvs=21), Médecine générale (https://www.notion.so/M-decine-g-n-rale-d1270dd07cd24aceb997ee8db67ab179?pvs=21), Gynécologie obstétrique (https://www.notion.so/Gyn-cologie-obst-trique-2251e0168e7080c4ba59fd0ee4c00bd5?pvs=21)","Il apparaît de plus en plus documenté, dans le cadre de ce qu’il convient d’appeler «la transition épidémiologique», que la plupart des maladies chroniques responsables des principales causes dans nos sociétés de morbidités et de mortalité sont en constante augmentation, ne sont pas d’origine génétique (mutations germinales), mais sont plutôt multifactorielles et liées à l’interaction entre des facteurs environnementaux et des facteurs de susceptibilité génétiques (variants, polymorphismes).
« L’exposome » représente l’ensemble des expositions environnementales (pollution atmosphérique, irradiations, UV, ondes magnétiques, pollutions chimiques, nanoparticules, perturbateurs endocriniens, stress, traumatisme psychique, précarité sociale etc.) auxquelles un individu est soumis depuis sa conception jusqu’à sa mort (Wild C. et al. Cancer Epidemiology 2005). 
Ce concept cherche à mettre en évidence et mieux comprendre les relations entre un organisme vivant, son environnement et le développement potentiel de  pathologies chroniques. 
Parmi ces facteurs environnementaux, les polluants chimiques représentent une préoccupation croissante de santé publique en raison de leur production annuelle mondiale en constante augmentation, leur rémanence dans l’environnement naturel comme illustré par la chlordécone, ce pesticide utilisé dans les bananeraies aux Antilles françaises et toujours présent dans les sols, les eaux, les cultures, les poissons, 30 ans après son interdiction, et leur aptitude à générer, favoriser ou aggraver de nombreuses pathologies chroniques. 
Ces polluants chimiques peuvent agir par différents mécanismes moléculaires en particulier à faibles doses par leur capacité à agir comme des perturbateurs endocriniens mimant, bloquant ou interférant avec la régulation hormonale de l’homéostasie.
Ces perturbateurs endocriniens auxquels nous sommes tous exposés à la maison comme au travail (alimentation, eau, cosmétiques, produits d’entretien, ameublement, fumées de tabac ou industrielles, pesticides...) sont susceptibles d’interférer avec notre épigénome en particulier dans des périodes critiques de plasticité ( développement fœtal, post-partum, petite enfance, période péri-pubertaire, dans les suites d’un cancer diagnostiqué, ou à un âge avancé) et d’influer à distance comme cofacteur de risque de développement de pathologies multiples (malformations, troubles neuro-développementaux et comportementaux, reproduction, puberté, gynécologie, affections allergiques et respiratoires, les pathologies du métabolisme (obésité et diabète, inflammation de bas-grade, différents cancers et des maladies neuro-dégénératives).
Attendre dans ces conditions que les commissionnaires européens se mettent d’accord pour leur interdiction, et/ou que les ingénieurs ou chimistes de l’INRA trouvent des procédés de détoxification des centaines voire des milliers de produits qui sont présents dans notre univers quotidien paraît illusoire ou pour le moins prématuré. En revanche, il a été déjà démontré dans des études d’évaluation de programmes d’éducation, d’information et de prévention environnementale que des conseils pratiques simples concernant la vie quotidienne sont capables de réduire l’exposition chronique et diminuer les risques liés à ces perturbateurs endocriniens. Plusieurs enquêtes nationales menées auprès des médecins généralistes dont une thèse de spécialité de médecine générale à Nice ont montré que les praticiens (généralistes et pédiatres) sont aujourd’hui souvent interrogés par leurs patients mais assez mal à l’aise pour y répondre bien que sensibilisés à cette question, faute de véritable formation universitaire. Cette question de formation des professionnels de santé à cette prévention est devenue une des priorités des derniers plans nationaux de santé publique et du 4e plan national sur les perturbateurs endocriniens.",E-learning,PI,AC,11,"589,00 €","157,50 €",Patrick FÉNICHEL (https://www.notion.so/Patrick-F-NICHEL-40e600f0208749f2a3ac7dd8431b62a4?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,
Cancer de la vessie et des voies excrétrices urinaires (https://www.notion.so/Cancer-de-la-vessie-et-des-voies-excr-trices-urinaires-2151e0168e7080c382dde0821daa5585?pvs=21),94632425241,"Gériatrie / Gérontologie (https://www.notion.so/G-riatrie-G-rontologie-8134de7c2adc4d069a0b813e6f873fab?pvs=21), Médecine générale (https://www.notion.so/M-decine-g-n-rale-d1270dd07cd24aceb997ee8db67ab179?pvs=21)","Les tumeurs de la vessie et des voies excrétrices urinaires touchent environ 11 000 hommes et 3 000 femmes chaque année. Elles sont le 7e cancer le plus courant en France, avec une incidence en augmentation chez les femmes.
Elles correspondent à la transformation maligne du revêtement épithélial, appelé urothélium, qui tapisse la voie excrétrice urinaire : cavités rénales, uretère, vessie et urètre. 95% de ces tumeurs sont localisées au niveau de la vessie. Elles sont responsables tous les ans de près de 5 000 décès. Elles sont principalement attribuées à l’exposition au tabagisme. 
Du fait de sa proximité avec ses patients et du fait de son positionnement en première ligne, le médecin généraliste est un maillon essentiel du parcours de soins pour prévenir, diagnostiquer et apporter les soins de support liés à ce type de cancer. Il doit pouvoir exposer et éclairer le patient par une information complète et circonstanciée sur les bénéfices/risques des actions de prévention et accompagner les patients touchés par cette maladie.",E-learning,PI,AC,11,"589,00 €","157,50 €",Olivier CUSSENOT (https://www.notion.so/Olivier-CUSSENOT-2276fc999609495f8b137c41eb274e43?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,
Toxicomanie : repérage et prise en charge (https://www.notion.so/Toxicomanie-rep-rage-et-prise-en-charge-2161e0168e7080dfa0abe26f35633a35?pvs=21),94632425253,Médecine générale (https://www.notion.so/M-decine-g-n-rale-d1270dd07cd24aceb997ee8db67ab179?pvs=21),"La toxicomanie est un terme synonyme d’addition qui renvoie dans notre imaginaire aux usagers de drogues illicites par voie intraveineuse.Pour cette formation, nous axerons notre propos sur les substances psychoactives les plus répandus hors alcool et tabac. Nous nous intéressons donc aux troubles liés à l’usage du cannabis, de la cocaïne (dont la cocaïne base, également connue sous le nom de crack), à la MDMA, à la méthamphétamine, aux produits de synthèse, au LSD et au GHB.D’un point de vue épidémiologique, 11% des adultes en France consommaient du cannabis au moins une fois dans l’année, 1.6% de la cocaïne, 1% de la MDMA, 0.3% des amphétamines et 0.2% du crack. Les consommations de cannabis sont répandues en population générale et présentent des risques spécifiques que nous aborderons au cours de cette formation qu’il s’agisse des répercussions pulmonaires, cardiovasculaires ou sur la santé mentale. Les consommations de cocaïnes sont quant à elles en constante augmentation (5 fois plus de consommateurs en 2017 qu’en 1992) et sont donc de plus en plus visibles dans notre société. Ces consommations de cocaïne et de crack posent un problème de santé publique et de plus en plus de professionnels de santé se questionnent sur comment prendre en charge cette addiction.Cette formation permettra également de mettre l’accent sur des sujets prioritaires en addictologie : la prévention et l’accompagnement chez les adolescents et les jeunes adultes, l'accompagnement des publics précaires et la prise en charge des polyaddictions.",E-learning,EPP,AC,7,"399,00 €","157,50 €",Loïc LEMAIN (https://www.notion.so/Lo-c-LEMAIN-26f3472f05194057aa252b6403c2be5b?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,,,0,
Toxicomanie : repérage et prise en charge (https://www.notion.so/Toxicomanie-rep-rage-et-prise-en-charge-2161e0168e7080dfa0abe26f35633a35?pvs=21),94632425256,Psychiatrie (https://www.notion.so/Psychiatrie-19915b92c8284772b8b98afd02623b65?pvs=21),"La toxicomanie est un terme synonyme d’addition qui renvoie dans notre imaginaire aux usagers de drogues illicites par voie intraveineuse.Pour cette formation, nous axerons notre propos sur les substances psychoactives les plus répandus hors alcool et tabac. Nous nous intéressons donc aux troubles liés à l’usage du cannabis, de la cocaïne (dont la cocaïne base, également connue sous le nom de crack), à la MDMA, à la méthamphétamine, aux produits de synthèse, au LSD et au GHB.D’un point de vue épidémiologique, 11% des adultes en France consommaient du cannabis au moins une fois dans l’année, 1.6% de la cocaïne, 1% de la MDMA, 0.3% des amphétamines et 0.2% du crack. Les consommations de cannabis sont répandues en population générale et présentent des risques spécifiques que nous aborderons au cours de cette formation qu’il s’agisse des répercussions pulmonaires, cardiovasculaires ou sur la santé mentale. Les consommations de cocaïnes sont quant à elles en constante augmentation (5 fois plus de consommateurs en 2017 qu’en 1992) et sont donc de plus en plus visibles dans notre société. Ces consommations de cocaïne et de crack posent un problème de santé publique et de plus en plus de professionnels de santé se questionnent sur comment prendre en charge cette addiction.Cette formation permettra également de mettre l’accent sur des sujets prioritaires en addictologie : la prévention et l’accompagnement chez les adolescents et les jeunes adultes, l'accompagnement des publics précaires et la prise en charge des polyaddictions.",E-learning,PI,AC,11,"589,00 €","157,50 €",Loïc LEMAIN (https://www.notion.so/Lo-c-LEMAIN-26f3472f05194057aa252b6403c2be5b?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,
"Covid Long : dépistage, prise en charge et suivi du patient (https://www.notion.so/Covid-Long-d-pistage-prise-en-charge-et-suivi-du-patient-2161e0168e7080efba19fd09b148d7fc?pvs=21)",94632425177,Médecine générale (https://www.notion.so/M-decine-g-n-rale-d1270dd07cd24aceb997ee8db67ab179?pvs=21),"Environ deux millions de patients souffrent ou ont souffert en France de symptômes prolongés de la Covid-19. Si chez la plupart d’entre eux, les symptômes finissent par disparaître dans les mois suivant le COVID initial, plusieurs centaines de milliers de patients restent handicapés à des degrés divers de gravité et de durée par des symptômes durables.
Ces symptômes souvent inhabituels peuvent déconcerter les médecins de 1er recours tels que les pédiatres. Malgré l’absence à ce jour de traitement étiologique, une analyse précise de chaque situation permet d’instaurer une prise en charge symptomatique qui s’avère efficace.
La prise en charge de ces patients représente donc un enjeu organisationnel important pour notre système de santé.
La HAS et le ministère des Solidarités et de la Santé ont émis des recommandations pour leur prise en charge et l’organisation des soins pour ces patients
Ces recommandations placent au centre du dispositif les soins de ville, les professionnels de santé tels que les gériatres et le réseau qui les entoure (spécialistes, kinésithérapeutes, orthophonistes …). Si cette prise en charge suffit pour la majorité des cas, un recours peut être nécessaire pour les cas complexes vers des organisations adaptées qui doivent être en capacité d’apporter une réponse coordonnée et appropriée.",E-learning,FC,NA (FC),11,"522,50 €","0,00 €",Dominique SALMON (https://www.notion.so/Dominique-SALMON-3b6ba28b30d448d091bbc2fa1e5157e7?pvs=21),GRAAD,Commercialisée,Formation Continue,Non présentiel,11,,,0,,,0,
Repérage et prise en charge du risque cardio-vasculaire par l’infirmière (https://www.notion.so/Rep-rage-et-prise-en-charge-du-risque-cardio-vasculaire-par-l-infirmi-re-2171e0168e7080338d33f145d17ecfbe?pvs=21),94632425293,Infirmier Diplômé d'Etat (IDE) (https://www.notion.so/Infirmier-Dipl-m-d-Etat-IDE-1f6423a8bfbf482d8317276a73305e84?pvs=21),"Les maladies cardio-neurovasculaires sont un problème majeur de santé publique. Dont environ 4 000 000 personnes sont atteintes de maladies cardiovasculaires. Cela représente 3 600 000 personnes suivant un traitement pour le diabète en 2022 dont 90% de diabète de type 2 et 12 000 000 personnes traitées pour hypertension artérielle. En France, les maladies cardio-neurovasculaires sont la deuxième cause de décès après les cancers, avec plus de 140 000 morts chaque année. Et la maladie cardiovasculaire est la 1ère  cause de décès chez les femmes tous âges confondus.
Le risque cardiovasculaire est multifactoriel, ouvrant sur de multiples actions de préventions dont la stratégie nationale de santé (SNS) 2018-2022 et le Plan national de santé publique « Priorité prévention » et l’implication des professionnels de santé dans la promotion de la santé en population générale afin de faciliter les habitudes de vie saines dans tous les milieux et tout au long de la vie. 
Cette formation permettra à l’infirmière de renforcer l’évaluation et le repérage du risque cardiovasculaire en fonction des habitudes de vie, de la situation psychosocial, des facteurs personnels ( âges, sexe, pathologies, comorbidités et antécédents) afin de faire évoluer et de sécuriser les pratiques professionnelles dans la prise en charge du patient.
La formation sera l’occasion de faire le point sur les pathologies suivantes le diabète et l’hypertension artérielle, de proposer de situer le patient atteint de diabète ou/et d’hypertension artérielle dans une vision globale de prise en charge afin de développer une qualité et une pertinence dans l’organisation des soins et leurs pratiques, et aussi l’intérêt pour les professionnels concernés d’adapter leurs pratiques en fonction des recommandations élaborées par les sociétés savantes et validées par l’HAS.",E-learning,EPP,AC,7,"239,40 €","133,00 €","Colette LAURENT (https://www.notion.so/Colette-LAURENT-07ed852d6af144628a4a5c0c953e5865?pvs=21), Sébastien LAURENTI (https://www.notion.so/S-bastien-LAURENTI-1201e0168e7080efac94c5cbd0554d06?pvs=21)",GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,,,0,
Le Lupus cutané : diagnostic et prise en charge (https://www.notion.so/Le-Lupus-cutan-diagnostic-et-prise-en-charge-2181e0168e708038beeaf36f4f03e709?pvs=21),94632325006,Dermatologie et vénéréologie (https://www.notion.so/Dermatologie-et-v-n-r-ologie-227b9551cf484e86a4f734bdb4a40789?pvs=21),"En France, 50 000 personnes sont atteintes de cette maladie rare.
Un patient est atteint d’un lupus dès lors que son système immunitaire qui le protège contre les microbes ou les substances étrangères à l’organisme se dérègle et se retourne contre ses propres cellules de son organisme. Le lupus cutané est une pathologie dermatologique fréquente et non une infection qui nécessite une prise en charge et un suivi particulier. ",E-learning,PI,AC,11,"570,00 €","112,50 €",Arsène MEKINIAN (https://www.notion.so/Ars-ne-MEKINIAN-863b101fbb22460faf5c96b7710c4423?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,3,Formation Continue,Non présentiel,6,Evaluation des pratiques professionnelles,Non présentiel,2,
"Le Cancer de la Prostate : dépistage, diagnostic et prise en charge (https://www.notion.so/Le-Cancer-de-la-Prostate-d-pistage-diagnostic-et-prise-en-charge-2181e0168e7080b1a19ad8e2ccae744e?pvs=21)",94632425242,"Gériatrie / Gérontologie (https://www.notion.so/G-riatrie-G-rontologie-8134de7c2adc4d069a0b813e6f873fab?pvs=21), Médecine générale (https://www.notion.so/M-decine-g-n-rale-d1270dd07cd24aceb997ee8db67ab179?pvs=21)","Le cancer de la prostate touche près de 50 000 hommes en France chaque année et un homme décède toutes les heures d’un cancer de la prostate. 
Le cancer de la prostate se situe en France au 1er rang des cancers (71 200 nouveaux cas estimés en 2011) et au 3e rang des causes de décès par cancer chez l’homme (8 700 décès par an). 
L’incidence et la mortalité du cancer de la prostate augmentent avec l’âge. L’âge médian au moment du diagnostic est de 74 ans (44 % des cancers de la prostate sont diagnostiqués après 75 ans). L’âge moyen du décès lié à un cancer de la prostate est de 78 ans, soit quasiment l’espérance de vie moyenne des hommes en France. 
Le cancer de la prostate est un cancer de bon pronostic : la survie relative à 5 ans s’est améliorée de façon spectaculaire, passant de 70 % pour les cas diagnostiqués en 1990 à 90 % en 2002.
Du fait de sa proximité avec ses patients et du fait de son positionnement en première ligne, le médecin généraliste est un maillon essentiel du parcours de soins pour prévenir, diagnostiquer et apporter les soins de support liés à cette pathologie fréquente. 
Le médecin généraliste doit pouvoir exposer et éclairer le patient par une information complète et circonstanciée sur les bénéfices/risques des actions de prévention et accompagner les patients touchés par cette maladie. ",E-learning,PI,AC,11,"589,00 €","157,50 €",Olivier CUSSENOT (https://www.notion.so/Olivier-CUSSENOT-2276fc999609495f8b137c41eb274e43?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,
Suivi des épilepsies chez l’enfant et l’adolescent (https://www.notion.so/Suivi-des-pilepsies-chez-l-enfant-et-l-adolescent-2181e0168e708050a3cdd36c8be78770?pvs=21),94632425262,Pédiatrie (https://www.notion.so/P-diatrie-63878eb075064206871eaa41b3f97bea?pvs=21),"L’épilepsie touche à peu près 1% de la population générale avec une incidence plus importante chez l’enfant. Les épilepsies sont un groupe de maladies fréquentes chez l’enfant. Il existe un grande diversité des types d’épilepsies. Les épilepsies chez l’enfant ont pour particularité de survenir au cours du développement cérébral. On estime qu’il y a 40 000 à 50 000 enfants avec épilepsie en France. Il est bien établi que les enfants et adolescents avec cette maladie chronique sont plus à risque de difficultés à l’école, d’isolement, de restrictions inappropriées et aussi d’avoir une moins bonne qualité de vie. Il est essentiel pour ces patients et leur famille d’avoir un soutien des structures de soins primaires y compris le médecin généraliste ou le pédiatre. ",E-learning,PI,AC,11,"589,00 €","157,50 €","Stéphane AUVIN (https://www.notion.so/St-phane-AUVIN-52234b6867b04676a82913864bb7c337?pvs=21), Blandine DOZIÈRES (https://www.notion.so/Blandine-DOZI-RES-538264c96e2945cea0d513d137d97939?pvs=21)",GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,
La consultation de contraception et prévention en santé sexuelle  (https://www.notion.so/La-consultation-de-contraception-et-pr-vention-en-sant-sexuelle-2181e0168e7080749e40f9c5f4de42d3?pvs=21),94632525381,Médecine générale (https://www.notion.so/M-decine-g-n-rale-d1270dd07cd24aceb997ee8db67ab179?pvs=21),"Dans un monde en constante évolution, la santé sexuelle est devenue un enjeu pour les professionnels de la santé. Un bon accompagnement des médecins généralistes ou des gynécologues assurera une vie sexuelle responsable, satisfaisante et libre aux patients. Cette formation apportera des connaissances et compétences nécessaires pour répondre aux besoins de leurs patients et de mieux les accompagner en matière de santé sexuelle. Avec les récentes avancées dans les dispositions réglementaires et les nouvelles options de prévention, les professionnels de la santé doivent rester à jour et développer une posture professionnelle empreinte de bienveillance. Cette formation s'inscrit dans la Stratégie nationale de santé sexuelle (axe III, objectif 1), mettant l'accent sur la conduite de consultations en santé sexuelle, la maîtrise des différentes formes de contraception (féminine et masculine). Elle offrira aux médecins généralistes une compréhension approfondie de ces sujets cruciaux pour améliorer la santé sexuelle de leurs patients.",E-learning,PI,TCS,11,"589,00 €","157,50 €","Alice CATHELAIN  (https://www.notion.so/Alice-CATHELAIN-3c2f39e42bcc43e4812d0e27ff970fb7?pvs=21), Marine LALLEMANT (https://www.notion.so/Marine-LALLEMANT-9ba8eb0e2e564d4f8356ee13607bfa63?pvs=21)",GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,7,Formation Continue,Non présentiel,4,,,0,
